ds4: [t=+12338.9ms] coordinator connected; plan: 3337 experts for this worker (coordinator keeps 5562 hottest, SSD tail active on coordinator)
ds4: [t=+24959.0ms] plan installed: 3337/3337 experts wired (22.00 GiB); serving
ds4: [t=+36311.5ms] req seq=1 L3 k=1 ids=[124] w=[0.1197] compute=163.24 ms ok
ds4: [t=+36417.4ms] req seq=2 L4 k=1 ids=[113] w=[0.1472] compute=1.87 ms ok
ds4: [t=+36488.8ms] req seq=3 L5 k=1 ids=[12] w=[0.2321] compute=2.00 ms ok
ds4: [t=+36949.3ms] req seq=4 L8 k=1 ids=[20] w=[0.1114] compute=2.02 ms ok
ds4: [t=+37017.6ms] req seq=5 L9 k=3 ids=[57,15,199] w=[0.2167,0.2111,0.1713] compute=1.76 ms ok
ds4: [t=+37224.5ms] req seq=6 L11 k=2 ids=[35,83] w=[0.4434,0.0947] compute=2.10 ms ok
ds4: [t=+37306.0ms] req seq=7 L12 k=2 ids=[3,45] w=[0.1851,0.1154] compute=1.93 ms ok
ds4: [t=+37378.2ms] req seq=8 L13 k=1 ids=[112] w=[0.0625] compute=2.03 ms ok
ds4: [t=+37471.8ms] req seq=9 L14 k=1 ids=[7] w=[0.4104] compute=2.09 ms ok
ds4: [t=+37714.6ms] req seq=10 L15 k=1 ids=[95] w=[0.1053] compute=174.13 ms ok
ds4: [t=+37805.8ms] req seq=11 L16 k=4 ids=[61,155,205,30] w=[0.4077,0.3597,0.2159,0.1086] compute=1.80 ms ok
ds4: [t=+37873.5ms] req seq=12 L17 k=1 ids=[67] w=[0.0581] compute=1.95 ms ok
ds4: [t=+38004.2ms] req seq=13 L18 k=3 ids=[43,246,41] w=[0.4037,0.3572,0.1916] compute=1.98 ms ok
ds4: [t=+38630.2ms] req seq=14 L19 k=2 ids=[122,186] w=[0.2518,0.1180] compute=2.16 ms ok
ds4: [t=+38713.8ms] req seq=15 L20 k=2 ids=[149,248] w=[0.4167,0.2909] compute=2.03 ms ok
ds4: [t=+38783.8ms] req seq=16 L21 k=1 ids=[184] w=[0.2979] compute=2.08 ms ok
ds4: [t=+39005.1ms] req seq=17 L22 k=3 ids=[0,216,113] w=[0.4039,0.1021,0.0775] compute=143.38 ms ok
ds4: [t=+39100.7ms] req seq=18 L23 k=2 ids=[83,170] w=[0.7953,0.1293] compute=1.78 ms ok
ds4: [t=+39182.7ms] req seq=19 L24 k=1 ids=[152] w=[0.3389] compute=1.83 ms ok
ds4: [t=+39489.7ms] req seq=20 L25 k=1 ids=[92] w=[0.1459] compute=2.00 ms ok
ds4: [t=+39658.2ms] req seq=21 L27 k=1 ids=[222] w=[0.0596] compute=2.14 ms ok
ds4: [t=+40167.4ms] req seq=22 L28 k=2 ids=[204,247] w=[0.3507,0.1466] compute=2.20 ms ok
ds4: [t=+40325.3ms] req seq=23 L30 k=2 ids=[174,252] w=[0.9053,0.1647] compute=2.16 ms ok
ds4: [t=+40596.2ms] req seq=24 L33 k=2 ids=[195,22] w=[0.1667,0.1356] compute=2.08 ms ok
ds4: [t=+41099.5ms] req seq=25 L39 k=1 ids=[143] w=[0.4652] compute=1.78 ms ok
ds4: [t=+41276.4ms] req seq=26 L41 k=1 ids=[73] w=[0.0961] compute=2.02 ms ok
ds4: [t=+42159.1ms] req seq=27 L4 k=1 ids=[239] w=[0.1109] compute=164.67 ms ok
ds4: [t=+42159.6ms] tok#0 done: 26 layer-reqs, 43 experts, compute 526.52 ms (20.25 ms/layer), wall 6011.35 ms, errors=0, evict-hints=26 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=27 misses=0 swaps=26
ds4: [t=+42159.7ms] tok#0 experts: L3=[124] L4=[113] L5=[12] L8=[20] L9=[57,15,199] L11=[35,83] L12=[3,45] L13=[112] L14=[7] L15=[95] L16=[61,155,205,30] L17=[67] L18=[43,246,41] L19=[122,186] L20=[149,248] L21=[184] L22=[0,216,113] L23=[83,170] L24=[152] L25=[92] L27=[222] L28=[204,247] L30=[174,252] L33=[195,22] L39=[143] L41=[73]
ds4: [t=+43788.3ms] req seq=28 L8 k=1 ids=[1] w=[0.0904] compute=163.61 ms ok
ds4: [t=+43803.4ms] req seq=29 L9 k=1 ids=[241] w=[0.1531] compute=1.65 ms ok
ds4: [t=+43899.2ms] req seq=30 L11 k=1 ids=[195] w=[0.1980] compute=1.54 ms ok
ds4: [t=+44069.0ms] req seq=31 L14 k=1 ids=[108] w=[0.1006] compute=144.68 ms ok
ds4: [t=+44086.9ms] req seq=32 L15 k=1 ids=[124] w=[0.1402] compute=1.61 ms ok
